Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
1.000000e-06  0.000057  1.040384e-06  3.521958e-12  -114.532158
1.572581e-03  0.090102  1.636224e-03  8.711295e-06  -50.599173
3.144162e-03  0.180147  3.271391e-03  3.482269e-05  -44.581377
4.715743e-03  0.270192  4.906527e-03  7.833316e-05  -41.060544
6.287324e-03  0.360237  6.541615e-03  1.392410e-04  -38.562328
7.858906e-03  0.450282  8.176638e-03  2.175439e-04  -36.624532
9.430487e-03  0.540327  9.811582e-03  3.132387e-04  -35.041246
1.100207e-02  0.630372  1.144643e-02  4.263217e-04  -33.702626
1.257365e-02  0.720417  1.308117e-02  5.567885e-04  -32.543098
1.414523e-02  0.810462  1.471578e-02  7.046340e-04  -31.520364
1.571681e-02  0.900507  1.635024e-02  8.698524e-04  -30.605544
1.728839e-02  0.990552  1.798455e-02  1.052437e-03  -29.778038
1.885997e-02  1.080597  1.961868e-02  1.252381e-03  -29.022634
2.043155e-02  1.170642  2.125261e-02  1.469677e-03  -28.327780
2.200314e-02  1.260687  2.288634e-02  1.704316e-03  -27.684499
2.357472e-02  1.350732  2.451985e-02  1.956288e-03  -27.085671
2.514630e-02  1.440777  2.615312e-02  2.225585e-03  -26.525558
2.671788e-02  1.530822  2.778613e-02  2.512195e-03  -25.999467
2.828946e-02  1.620867  2.941887e-02  2.816107e-03  -25.503509
2.986104e-02  1.710912  3.105132e-02  3.137309e-03  -25.034427
3.143262e-02  1.800957  3.268346e-02  3.475789e-03  -24.589466
3.300420e-02  1.891002  3.431529e-02  3.831533e-03  -24.166274
3.457578e-02  1.981047  3.594678e-02  4.204528e-03  -23.762828
3.614737e-02  2.071091  3.757792e-02  4.594758e-03  -23.377373
3.771895e-02  2.161136  3.920869e-02  5.002209e-03  -23.008382
3.929053e-02  2.251181  4.083907e-02  5.426864e-03  -22.654511
4.086211e-02  2.341226  4.246905e-02  5.868707e-03  -22.314576
4.243369e-02  2.431271  4.409862e-02  6.327720e-03  -21.987528
4.400527e-02  2.521316  4.572775e-02  6.803884e-03  -21.672431
4.557685e-02  2.611361  4.735643e-02  7.297183e-03  -21.368448
4.714843e-02  2.701406  4.898465e-02  7.807595e-03  -21.074827
4.872001e-02  2.791451  5.061238e-02  8.335100e-03  -20.790892
5.029160e-02  2.881496  5.223962e-02  8.879678e-03  -20.516028
5.186318e-02  2.971541  5.386634e-02  9.441308e-03  -20.249678
5.343476e-02  3.061586  5.549253e-02  1.001997e-02  -19.991337
5.500634e-02  3.151631  5.711817e-02  1.061563e-02  -19.740542
5.657792e-02  3.241676  5.874324e-02  1.122828e-02  -19.496869
5.814950e-02  3.331721  6.036774e-02  1.185788e-02  -19.259929
5.972108e-02  3.421766  6.199164e-02  1.250442e-02  -19.029365
6.129266e-02  3.511811  6.361492e-02  1.316786e-02  -18.804848
6.286424e-02  3.601856  6.523757e-02  1.384819e-02  -18.586071
6.443583e-02  3.691901  6.685958e-02  1.454536e-02  -18.372754
6.600741e-02  3.781946  6.848092e-02  1.525937e-02  -18.164635
6.757899e-02  3.871991  7.010159e-02  1.599017e-02  -17.961470
6.915057e-02  3.962036  7.172155e-02  1.673773e-02  -17.763034
7.072215e-02  4.052081  7.334081e-02  1.750204e-02  -17.569114
